ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777253,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777254,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777255,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777256,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777257,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777258,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777259,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777260,24252,24252,9,13,1274296,84,12,10173,16072080,43462,8666,519256,16731
1789777261,24292,24292,9,11,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777262,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777263,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777264,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777265,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777266,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777267,24424,24424,9,10,1274296,87,12,10173,16072080,43462,8666,519256,16731
1789777268,24424,24424,9,10,1274296,87,12,10183,16072176,43475,8670,519320,16734
1789777269,24424,24424,9,10,1274296,87,12,10183,16072176,43475,8670,519320,16734
1789777270,24424,24424,9,10,1274296,87,12,10183,16072176,43475,8670,519320,16734
1789777271,24424,24424,9,10,1274296,87,12,10183,16072176,43475,8670,519320,16734
1789777272,24764,24764,9,10,1274296,88,12,10183,16072176,43475,8670,519320,16734
1789777273,24764,24764,9,10,1274296,88,12,10183,16072176,43475,8670,519320,16734
1789777274,24772,24772,9,10,1274296,88,12,10183,16072176,43475,8670,519320,16734
1789777275,24772,24772,9,10,1274296,88,12,10183,16072176,43475,8670,519320,16734
1789777276,24788,24788,9,11,1274296,88,13,10183,16072176,43475,8670,519320,16734
1789777277,24788,24788,9,11,1274296,88,13,10183,16072176,43475,8670,519320,16734
1789777278,24932,24932,9,11,1274296,94,13,10193,16072232,43478,8680,519376,16738
1789777279,24940,24940,9,10,1274296,94,13,10193,16072232,43478,8680,519376,16738
1789777280,24940,24940,9,10,1274296,94,13,10193,16072232,43478,8680,519376,16738
1789777281,24948,24948,9,11,1274296,94,13,10193,16072232,43478,8680,519376,16738
